Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 37,Bus 38,Bus 39
Bus 11,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.1081+j0.6003,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.2061+j1.1447,0.5956+j-9.3974,-0.2815+j7.6525,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 12,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.2815+j7.6525,0.5704+j-15.3930,-0.2815+j7.6525,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 13,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.2061+j1.1447,0.0000+j0.0000,-0.2815+j7.6525,0.5753+j-9.2845,-0.0877+j0.4873,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 14,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0687+j0.3816,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0877+j0.4873,0.1973+j-1.0957,-0.0408+j0.2268,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 15,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0408+j0.2268,0.4551+j-0.9034,-0.0943+j0.5236,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 16,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0943+j0.5236,0.7841+j-2.5602,-0.0996+j0.5530,0.0000+j0.0000,-0.0454+j0.2524,0.0000+j0.0000,-0.0656+j0.3646,0.0000+j0.0000,0.0000+j0.0000,-0.1502+j0.8342,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 17,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0996+j0.5530,0.2589+j-1.4378,-0.1081+j0.6003,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0512+j0.2845,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 18,0.0000+j0.0000,0.0000+j0.0000,-0.0666+j0.3701,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.1081+j0.6003,0.3327+j-1.0003,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 19,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0454+j0.2524,0.0000+j0.0000,0.0000+j0.0000,0.8450+j-16.2617,-0.3666+j7.2278,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.4329+j8.7815,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 20,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.3666+j7.2278,1.4564+j-16.5670,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.4618+j9.2362,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 21,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0656+j0.3646,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.4029+j-0.8312,-0.0633+j0.3516,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 22,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0633+j0.3516,0.1556+j-9.6055,-0.0923+j0.5127,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j8.7413,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 23,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0923+j0.5127,0.4616+j-5.9883,-0.0253+j0.1406,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0965+j5.2503,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 24,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.1502+j0.8342,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0253+j0.1406,0.4841+j-0.8827,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 25,0.0000+j0.0000,-0.1030+j0.5723,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.5136+j-6.9254,-0.0274+j0.1524,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.1591+j6.1535,0.0000+j0.0000,0.0000+j0.0000
Bus 26,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0274+j0.1524,0.2596+j-0.6868,-0.0603+j0.3348,-0.0187+j0.1038,-0.0142+j0.0788,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 27,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0512+j0.2845,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0603+j0.3348,0.3925+j-0.6948,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 28,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0187+j0.1038,0.0000+j0.0000,0.2834+j-0.4574,-0.0587+j0.3260,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
Bus 29,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.0142+j0.0788,0.0000+j0.0000,-0.0587+j0.3260,0.6842+j-6.8251,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,-0.3279+j6.3934,0.0000+j0.0000
Bus 30,0.0000+j0.0000,0.0000+j5.5249,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j-5.5249,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000,0.0000+j0.0000
