Bus_i,Bus_j,|Zij/Zjj|
16,36,0.14562020487545485
18,37,0.13995869689706236
27,37,0.1387404601679713
18,26,0.13298050423258773
8,9,0.13252674497523204
3,5,0.13201522384488465
4,15,0.13005956145422964
3,14,0.12805280894294158
3,27,0.12736690751058954
2,16,0.12554168381009362
27,28,0.12280600701156731
13,16,0.12260800374150799
3,26,0.11994205686648088
27,29,0.11932315355367971
10,16,0.11918199393036871
27,30,0.1189629401078502
3,6,0.11851906428565803
12,16,0.11849444919050217
9,11,0.11643535277902176
11,16,0.11577669065264566
27,38,0.11509520289600399
9,12,0.11298377565692282
17,30,0.1128746206176151
6,15,0.11224461541100063
4,18,0.11084880872195427
15,18,0.10983504578854932
9,13,0.10963502288501682
1,9,0.10784468583701694
4,16,0.10755308436259099
7,9,0.1065286815233883
5,15,0.10543509964446338
3,31,0.10510426038048347
16,27,0.104733992692781
15,32,0.10438391155684658
37,39,0.10436027333028777
25,39,0.10436027333028776
17,25,0.10250915078097778
18,21,0.10176588889938891
17,19,0.10167173883134653
1,18,0.1014958063591464
14,17,0.10109412285994852
15,19,0.09981016006291643
15,31,0.09906139760117878
17,20,0.09874154879485474
17,33,0.09704634546663245
15,20,0.09693362091921054
17,37,0.09677657994499672
15,33,0.09526945625089772
17,34,0.0949767874034315
3,15,0.09436505500069205
21,33,0.09432999739392033
15,34,0.09323779116951034
3,13,0.09305870089192285
3,12,0.09293822792960311
3,11,0.09285072484016275
24,27,0.0926781824375541
21,34,0.09231836670582362
9,10,0.09229793830280433
4,17,0.0917762333067645
14,18,0.09077176147260439
14,24,0.08989281947990942
17,23,0.0895095903344672
19,21,0.0891551417449403
3,8,0.08863638037419123
17,22,0.08795035516200608
15,23,0.08787069682430577
1,26,0.08780026453170571
20,21,0.08721642436717693
15,22,0.08634001077597102
9,32,0.08583795602678133
3,24,0.08511751873012562
28,37,0.08449970204411407
17,35,0.08424625476536284
17,36,0.08379386677453032
5,9,0.08311053471185524
22,33,0.08271663429625462
15,35,0.08270373133659459
8,39,0.0826773146525463
4,30,0.08247001596367022
6,9,0.08231467665677678
15,36,0.08225962643296521
25,28,0.0821676362972109
9,14,0.08198151599610691
3,7,0.08169498232847491
22,34,0.08095266393090461
25,29,0.07983731188419388
1,17,0.07982451944152603
29,37,0.07787139385552624
2,5,0.07738907561371317
23,33,0.07732328804127662
37,38,0.07700845423808762
25,38,0.07700845423808761
1,4,0.0766767367648116
3,10,0.07592246565972216
6,16,0.07585282294440726
23,34,0.0756743332715779
5,16,0.07424076653098019
2,14,0.07304810337867212
3,32,0.07060861150942997
7,15,0.07059995546966832
2,6,0.06993523708109022
13,17,0.0687083714656792
18,19,0.06762018729088186
7,39,0.06757757441242068
10,17,0.06736102714043447
12,17,0.06697243052147316
13,18,0.06650827369667878
11,17,0.06601923737213068
18,20,0.06567136649423819
10,18,0.06555385944303027
12,18,0.06517568812912912
11,18,0.06459899219821313
18,33,0.06454391487525225
1,8,0.06356955376829317
18,34,0.06316748613063186
8,15,0.06296689187607685
18,31,0.0628333039930913
30,31,0.062019485322845486
2,31,0.06201948532284546
28,30,0.0619790536880114
15,27,0.0617877491975866
1,27,0.06054937742646181
4,25,0.060397036025828785
3,39,0.06001416456696725
18,23,0.05953134403245477
2,15,0.059290214750937834
21,27,0.05857993578077266
18,22,0.058494322578860364
5,18,0.05841638032785164
2,8,0.05756452701399573
2,28,0.05743951462866786
29,30,0.057117305549932766
4,37,0.05701948109864843
2,24,0.0565734862634717
5,39,0.056203411430361686
18,35,0.056030786836831485
2,29,0.055810494868054686
18,36,0.05572991108689493
13,24,0.0552514671219043
6,39,0.055221492161489395
31,39,0.05517700333062086
6,18,0.055097327730456135
16,26,0.05431172048074793
2,13,0.053875403930927074
2,11,0.05387112129059213
2,12,0.05386324317592986
30,38,0.053832974064630355
2,38,0.05383297406463034
10,24,0.05370758692923299
1,5,0.05353257186581969
14,30,0.053423229000145164
12,24,0.05339775515291874
14,21,0.05304390970665351
5,17,0.05296760918509729
11,24,0.052173037826827744
19,23,0.052154267730394506
22,27,0.051367913271972085
6,17,0.051295431195727964
2,7,0.051253834312799514
19,22,0.05124575314178653
20,23,0.051020150469241944
1,16,0.050643423741530934
3,21,0.050226102641982934
20,22,0.05013139192595468
1,6,0.04984553599674903
1,7,0.04918492491782204
33,35,0.049087496768755144
19,35,0.04908749676875513
19,36,0.04882390529991108
33,36,0.04882390529991108
4,24,0.048467192378790186
7,16,0.04843522950585745
24,26,0.048059960379598365
20,35,0.048020067777517064
34,35,0.048020067777517064
23,27,0.04801858764927845
20,36,0.04776220821993776
34,36,0.04776220821993776
18,32,0.04614532356888047
25,31,0.04536058132114027
17,31,0.045081331350210266
1,31,0.04420367495966672
2,10,0.044001594623079905
8,16,0.043802040109963435
9,30,0.04326359186773224
5,30,0.04277223416474114
13,30,0.042701644741522264
10,30,0.04234657979522798
12,30,0.04210228812641635
27,33,0.04205048502341155
11,30,0.04198954300309378
17,28,0.041797294036848794
11,39,0.041780098413377084
27,34,0.04115373904165137
16,30,0.041143827833690194
10,39,0.041102586911078626
32,39,0.041102586911078626
30,32,0.04092189938168352
2,32,0.04092189938168351
12,39,0.04086547166830018
17,29,0.040611897217840816
13,39,0.04042480729955392
14,25,0.0402188691158657
6,30,0.03961510239044697
17,38,0.03917290493144952
16,31,0.03891847981089107
14,37,0.037969728288991
16,32,0.03774546982276413
4,9,0.03689287708483206
7,18,0.03675041729263488
16,25,0.03670005011215319
4,27,0.036615599703427405
17,32,0.036542379015257524
27,35,0.03650416568759363
1,14,0.03646212321148782
24,30,0.036407808812705396
27,36,0.03630814455622798
14,27,0.03590230256451805
4,39,0.035258100376965966
14,19,0.0352459861334349
19,27,0.035115474156126765
16,37,0.03464769053889435
18,28,0.03458112825180025
24,31,0.034438618058668165
20,27,0.03435187288039051
14,20,0.0342301931649893
6,24,0.034181942655654884
15,26,0.034019190072917635
8,18,0.033993217961418465
7,17,0.033756044514373855
14,33,0.03364252629033313
18,29,0.03360038630732768
5,24,0.03345549349077897
15,30,0.033423704491620895
24,32,0.03340063191027802
2,21,0.03338285432042632
3,19,0.03337364321457164
14,34,0.03292508390529712
1,11,0.032771418176702566
13,21,0.03260275793028646
24,25,0.03247554926831269
3,20,0.03241181136284157
18,38,0.032409831321514995
1,12,0.032405193953428925
1,13,0.03205611768913268
18,39,0.03197901403679426
13,25,0.03187898200297552
3,33,0.031855362621996376
14,39,0.03179293131269714
10,21,0.031691745882697395
10,25,0.031594186612323605
12,21,0.031508920503961355
5,25,0.03149832227794879
12,25,0.03141192403977128
11,25,0.031307895481727036
3,28,0.03119052431948942
4,26,0.0311812534642347
3,34,0.031176032326213
9,25,0.031088479621235815
8,17,0.03104073069948209
14,23,0.03102980057193035
11,21,0.030786239920159397
24,37,0.030659434461003776
14,22,0.030489269034857956
21,26,0.030377693202607997
3,29,0.030305941975978905
25,32,0.03024350025850013
13,37,0.03009622874515676
10,37,0.029827359832660542
32,37,0.029827359832660542
5,37,0.029736856474191397
12,37,0.02965528984389165
11,37,0.02955707882577834
3,23,0.02938143053754849
9,37,0.02934993325484879
6,25,0.029249860967190938
3,38,0.029232118300583167
14,35,0.029205188790754885
26,39,0.029160513493741456
14,36,0.02904836191796714
3,22,0.028869613203336766
4,21,0.028599496502055233
7,30,0.028402838351783134
15,25,0.028312460014133897
2,9,0.02819600290715118
3,35,0.02765374607556407
6,37,0.027614134803628426
31,37,0.027591887658091913
3,36,0.027505250185023207
8,30,0.027372628775449253
9,15,0.027369266818882743
15,37,0.026729155681443805
22,26,0.026637767505820933
1,10,0.026472230856278065
14,26,0.02644800619191534
1,15,0.026066409222771883
13,27,0.025055677267155088
23,26,0.024900913669336937
10,27,0.02462042185654531
1,32,0.024619425200128872
12,27,0.024478389985936964
11,27,0.02418716548123814
9,18,0.024082353777242962
27,31,0.023970252816964452
26,33,0.023299232833364575
21,30,0.023012612527268488
1,28,0.02283216044212333
1,24,0.02282170312221289
26,34,0.022802365950383745
9,16,0.022766947021753612
1,29,0.02218462640952993
2,19,0.022181841930189326
7,24,0.021826613344319484
21,31,0.021767928342947995
13,19,0.021663492760573663
2,20,0.02154255894986482
1,38,0.021398563495292025
30,33,0.021172714461136912
2,33,0.021172714461136905
21,32,0.02111183906373715
26,31,0.021084209046751717
10,19,0.02105815431221473
13,20,0.0210391486569684
12,19,0.02093667267936741
7,25,0.020903763590439738
9,17,0.02082043898791111
30,34,0.02072119656293884
2,34,0.020721196562938835
13,33,0.020677946759068706
21,25,0.020527113723501324
5,27,0.020518308130842735
11,19,0.020456474481752432
10,20,0.020451256125345776
12,20,0.02033327560573087
3,9,0.02031726029998232
13,34,0.020236980010244713
26,35,0.02022614139336173
22,30,0.020179432918569763
6,21,0.020170063530266666
26,36,0.020117530470624336
10,33,0.02010014721655155
32,33,0.02010014721655155
8,25,0.020094852793658937
12,33,0.01998419219655619
17,39,0.019875977535918517
11,20,0.019866916769873313
5,21,0.01974140077242799
8,24,0.019738735687355968
7,37,0.01973477228958667
10,34,0.019671502309383526
32,34,0.019671502309383526
6,27,0.019624280224674932
12,34,0.0195580200836541
2,23,0.019528411797192603
11,33,0.01952583984895348
27,39,0.01948552259313064
13,26,0.019396831935603973
21,37,0.019379185635309153
2,22,0.019188231639706586
10,26,0.019123165891745206
11,34,0.019109442311201104
22,31,0.019087987044159014
13,23,0.019072068447941223
12,26,0.01901284694435332
4,19,0.01900345322788714
8,37,0.0189710978293398
23,30,0.018863679806938666
11,26,0.018849638652871845
13,22,0.018739837679992266
25,33,0.01870793853109912
27,32,0.01856284065045626
10,23,0.018539141627281753
22,32,0.01851267167817265
4,20,0.018455771738937084
12,23,0.018432191836569866
30,35,0.018380103732814134
2,35,0.01838010373281413
25,34,0.018308983116067892
30,36,0.01828140571683541
2,36,0.018281405716835404
10,22,0.018216194314211932
19,26,0.01820976903373551
4,33,0.018138921476219847
12,22,0.018111107562697768
11,23,0.018009435774345287
22,25,0.017999934336200056
13,35,0.017950594247653332
13,36,0.017854202624208924
23,31,0.017843399128855682
20,26,0.017813789677079233
4,34,0.01775210061224628
11,22,0.017695715807684614
10,35,0.017449004546071553
32,35,0.017449004546071553
32,36,0.017355306373605512
10,36,0.01735530637360551
12,35,0.017348343608156992
23,32,0.01730559586670397
12,36,0.017255185967725104
5,26,0.017057281626518202
22,37,0.016993332507591184
35,37,0.01699333250759118
11,35,0.016950446413133643
11,36,0.016859425412640416
23,25,0.01682629037367739
4,23,0.016730227425243476
4,22,0.01643879095517097
25,35,0.016240423563065827
6,26,0.01615525152922778
25,36,0.016153215263938158
36,37,0.015885321682209203
23,37,0.0158853216822092
4,35,0.015746457968166854
4,36,0.01566190217986758
26,32,0.015405416718862332
16,28,0.01412357835728836
19,30,0.013794805161454152
16,29,0.013723025038143358
20,30,0.013494831116593315
1,21,0.013466619100063557
6,19,0.01340236387984626
16,38,0.013236780156011431
7,27,0.013169609207175866
5,19,0.013117531149712747
19,31,0.013048684928912146
6,20,0.013016106365638633
7,21,0.012879437024409687
6,33,0.012792644741825461
31,33,0.01278233843198117
20,31,0.012764935593388526
5,20,0.01273948254426873
19,32,0.012655395215955479
5,33,0.012520770021805244
6,34,0.012519835694273914
31,34,0.012509749171239086
24,28,0.012497829386753466
20,32,0.0123801981364889
19,25,0.01230488428930774
8,27,0.012277052233870394
5,34,0.012253758828014116
24,29,0.012143383302600244
20,25,0.012037309222562891
6,23,0.011799150031145502
9,26,0.011772202460976926
24,38,0.011713109513385143
8,21,0.011647423226697356
19,37,0.011616764055361786
33,37,0.011616764055361786
6,22,0.011593611723295332
5,23,0.01154838948272614
20,37,0.011364152462729947
34,37,0.011364152462729945
5,22,0.011347219362301474
7,26,0.011131498769108046
15,39,0.011127692760409195
6,35,0.011105337381438691
31,35,0.011096390439638277
6,36,0.011045703617546188
31,36,0.011036804719294253
5,35,0.010869322034163608
5,36,0.010810955632352147
9,27,0.010776074858381973
8,26,0.010484556468929637
9,24,0.010259584908425531
28,39,0.009815316672736716
38,39,0.009045385627991514
29,39,0.009045385627991512
1,19,0.008948138866271261
16,39,0.008948105387070904
15,28,0.00884657477968597
1,20,0.008690252577982371
15,29,0.008595680509025514
7,19,0.008557975105516235
1,33,0.008541057580809554
1,34,0.008358915589788308
7,20,0.008311333377195588
15,38,0.008291111680772447
7,33,0.008168643697167794
4,28,0.008108579008037409
7,34,0.007994443603927785
24,39,0.00791809919789851
21,28,0.0078996158925362
4,29,0.007878614748764345
1,23,0.007877747084708304
28,33,0.007842432148541563
1,22,0.007740518657136106
8,19,0.00773934123273965
21,29,0.007675577955005082
28,34,0.007675188666985616
4,38,0.007599453551489866
7,23,0.007534255384950241
8,20,0.007516292617363828
1,35,0.007414520448540944
21,38,0.007403610915110299
7,22,0.0074030104987808125
8,33,0.00738725226488445
1,36,0.007374705740836207
8,34,0.007229715704221816
29,33,0.007227257704476841
28,31,0.0070968636623104904
7,35,0.007091226719461475
29,34,0.007073133101585185
7,36,0.00705314804383264
22,28,0.006927060923526669
14,28,0.0068777141386632094
8,23,0.0068135479058768255
28,35,0.006808041390834976
28,36,0.00677148337202593
22,29,0.0067306052396591005
8,22,0.006694857567730999
14,29,0.0066826579597911995
29,31,0.0065401729475713325
22,38,0.006492121206995896
35,38,0.0064921212069958935
23,28,0.006475397985258414
14,38,0.006445872832389999
8,35,0.0064128982222977325
8,36,0.006378462054775768
23,29,0.006291751738523666
29,35,0.00627400641310739
29,36,0.006240316070864871
23,38,0.0060688175039800216
36,38,0.00606881750398002
9,21,0.006053970702653252
28,32,0.005185404008868346
13,28,0.0050440802335246435
21,39,0.005004864471001204
10,28,0.004972914308749005
12,28,0.004944226241348614
11,28,0.004901784479738155
13,29,0.0049010270335167715
10,29,0.004831879417887569
12,29,0.004804004961622145
29,32,0.004778651617775007
11,29,0.00476276687432519
19,28,0.004735388559588218
13,38,0.004727370036927909
10,38,0.004660672513324179
32,38,0.004660672513324179
12,38,0.004633785726443866
20,28,0.004632415473445863
19,29,0.0046010900442261
11,38,0.00459400881908656
20,29,0.004501037337777439
33,38,0.004438060648009551
19,38,0.00443806064800955
5,28,0.004435688125546699
22,39,0.0043886945360692466
35,39,0.004388694536069246
20,38,0.004341553086768955
34,38,0.004341553086768955
5,29,0.0043098892977685415
6,28,0.0042011182638861805
5,38,0.00415717795258261
23,39,0.0041025398896461715
36,39,0.0041025398896461715
6,29,0.004081971980830233
9,19,0.004022670436963901
6,38,0.003937336379046536
31,38,0.003934164289967021
9,20,0.003906736658610465
9,33,0.003839665470574678
9,34,0.0037577828340218736
9,23,0.003541471671498531
9,22,0.0034797801011110297
9,35,0.0033332263455404677
9,36,0.0033153274896963883
9,28,0.0030613212474903517
19,39,0.0030001430804580116
33,39,0.0030001430804580116
9,29,0.0029745003048346538
20,39,0.0029349036628313714
34,39,0.002934903662831371
7,28,0.0028947084295605358
9,38,0.0028691054996728476
7,29,0.0028126127283093607
8,28,0.0027264732827389005
7,38,0.0027129540495006996
8,29,0.0026491488331317173
8,38,0.0025552821340230534
