Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 37,Bus 38,Bus 39
Bus 11,(0.04879997148388744-0.02301943908563586j),(0.08541501211266489-0.023902932584408527j),(0.1528496268138101-0.0027744147674284335j),(0.38071075147369765+0.266659477532795j),(0.43895754654848784+0.5625185979972436j),(0.4592657101908793+0.7077474927059556j),(0.42689596288263654+0.2882203253269426j),(0.4023606997326647+0.19590511365856955j),(0.17978669382257212+0.06654244375234535j),(0.5423413514230022+1.505952225739343j),(0.547215933945675+1.5528612805334971j),(0.5396056029298123+1.497123021528084j),(0.5373979350470525+1.4589240056045638j),(0.4087913654979589+0.7683582895823067j),(0.17941466615223128+0.12896403810220886j),(0.0801472996288734-0.000654147358996598j),(0.07664672730887938-0.015938918588126495j),(0.09640896889220472-0.024197652020818257j),(0.01786000138047859-0.0200791460886359j),(0.015758345265549083-0.021041881621988633j),(0.03928281599152959-0.02159978873181852j),(0.029761514782749833-0.02568191821732733j),(0.02322724738533701-0.02847554806132516j),(0.0656444633865331-0.02685177608090191j),(0.054653988396801495-0.0361176636675323j),(0.0190357652412295-0.02719201834290811j),(0.028145038634036588-0.028228653801275493j),(-0.0030260653376896762-0.010754985051356246j),(-0.0042090241375219665-0.009396578737227579j),(0.08541501211266493-0.02390293258440854j),(0.4600327473501337+0.7064381605368201j),(0.5423413514230021+1.505952225739343j),(0.017860001380478583-0.02007914608863589j),(0.015758345265549083-0.021041881621988633j),(0.029761514782749847-0.025681918217327338j),(0.023227247385337-0.028475548061325153j),(0.054653988396801495-0.0361176636675323j),(-0.004209024137521969-0.009396578737227582j),(0.02649802449449765-0.02247729327098713j)
Bus 12,(0.04845621606565423-0.022688458896814038j),(0.08578546174122237-0.023457048878783415j),(0.15344089650670292-0.0018610860511625018j),(0.37976708972701595+0.2697158253516975j),(0.4320205495605674+0.5447984232403579j),(0.4516798052862383+0.6836541345278794j),(0.41731972551430263+0.27669922359751364j),(0.3929778921194622+0.1874583849639153j),(0.17549891283357427+0.06325311098096091j),(0.538119489871393+1.5050225649957674j),(0.5396056029298123+1.4971230215280837j),(0.5378118685635708+1.5610753371696429j),(0.5365649143605817+1.5128029574675028j),(0.4086798707986531+0.7946538343220682j),(0.18224162999662138+0.13509746071256926j),(0.08202872414106474+0.0006651542778170726j),(0.07795571188838259-0.015163451097479493j),(0.09747775421687437-0.02356900960394453j),(0.018611177051995734-0.020250371932328096j),(0.016476502002337967-0.021270572057175852j),(0.04055929273474749-0.021449783486424786j),(0.030883750309543104-0.025785727926696693j),(0.024243499731299543-0.028753362409923638j),(0.06762363932043522-0.02638538568269301j),(0.055048101963209826-0.035914028633741664j),(0.019459000652927515-0.02724472874235996j),(0.02884825701077123-0.028200586800296506j),(-0.0029495821162699326-0.010876474900817112j),(-0.004155682451946944-0.009517647546650737j),(0.0857854617412224-0.023457048878783422j),(0.45241423605494624+0.6823764377696682j),(0.5381194898713929+1.5050225649957674j),(0.018611177051995727-0.020250371932328086j),(0.016476502002337967-0.021270572057175852j),(0.03088375030954312-0.0257857279266967j),(0.024243499731299537-0.02875336240992363j),(0.055048101963209826-0.03591402863374167j),(-0.004155682451946946-0.009517647546650743j),(0.025719860570984444-0.022216639680721344j)
Bus 13,(0.04868297735808338-0.02259251416543557j),(0.08715685963581252-0.023234775081206138j),(0.15580073870296726-0.0008858384976606071j),(0.383051628023659+0.2760854735015683j),(0.4297642458970493+0.5335887480772104j),(0.44892562425590243+0.6676815034490462j),(0.41240048177565874+0.2685922680867883j),(0.3880201531105429+0.1813845693651647j),(0.17319842788681195+0.06078776277480401j),(0.5392788807124957+1.5217223387371481j),(0.5373979350470525+1.4589240056045636j),(0.5365649143605817+1.5128029574675028j),(0.541091011403066+1.584400125466699j),(0.4128444613001171+0.8303254065665975j),(0.18709453273585275+0.1428861414484812j),(0.08485471668490571+0.002036680708382121j),(0.08017094443655169-0.01452030902098259j),(0.09968223792170317-0.023158914924144583j),(0.019587745187783397-0.02064476118648122j),(0.017396015056666242-0.021735337765751057j),(0.0423146447119708-0.021524834831549287j),(0.03237575924476202-0.02616979840310043j),(0.025554645343893956-0.0293492305250845j),(0.0703961393543241-0.02618620465962323j),(0.05609585229221861-0.03609419984809396j),(0.02012119475022536-0.027600713417472365j),(0.029899112828761534-0.028481704311079676j),(-0.0029011678832995495-0.011124858612242546j),(-0.0041450416105719085-0.009750612435343078j),(0.08715685963581256-0.02323477508120615j),(0.44963660302051517+0.6664211226653894j),(0.5392788807124956+1.5217223387371484j),(0.01958774518778339-0.02064476118648121j),(0.017396015056666242-0.021735337765751057j),(0.032375759244762034-0.026169798403100436j),(0.02555464534389395-0.029349230525084494j),(0.05609585229221861-0.036094199848093964j),(-0.004145041610571909-0.009750612435343083j),(0.02525004573327922-0.02219793807886891j)
Bus 14,(0.052222204359525556-0.02111273835644408j),(0.1106773527470114-0.022029465503797155j),(0.1975092695193394+0.011128669210099612j),(0.449923261235303+0.3775143978469999j),(0.3599525108865782+0.33283464912725186j),(0.359766135940903+0.38198834527303926j),(0.3023497106624203+0.13209813682256766j),(0.2819937566564618+0.0821130286760847j),(0.12484762032499129+0.021286236770796958j),(0.41084138448237756+0.7993725384183364j),(0.4087913654979588+0.7683582895823063j),(0.408679870798653+0.7946538343220678j),(0.412844461300117+0.8303254065665971j),(0.5590060145343111+1.4401658599017808j),(0.2873641726122787+0.2679184699215864j),(0.13663389003169826+0.02004458066137583j),(0.11962285787495715-0.007827977402492779j),(0.13816546378017014-0.020456578899780364j),(0.035709735168855825-0.02947243615578598j),(0.032385548094573356-0.0316664417619837j),(0.07258630223813607-0.02640604806942455j),(0.057452703746034624-0.03586996423749058j),(0.04706476343771029-0.04235148524852999j),(0.1188569244102873-0.028388940690504707j),(0.07343515770102733-0.04110272970450038j),(0.030758766356841653-0.03497065667444979j),(0.047435315919358845-0.035368671544974056j),(-0.0025536206461608804-0.015466921139620633j),(-0.004413746734848271-0.013755870107711444j),(0.1106773527470115-0.022029465503797162j),(0.36008983673666145+0.3811018158904248j),(0.41084138448237745+0.7993725384183363j),(0.035709735168855804-0.029472436155785972j),(0.032385548094573356-0.0316664417619837j),(0.057452703746034645-0.03586996423749058j),(0.04706476343771028-0.04235148524852999j),(0.07343515770102733-0.04110272970450039j),(-0.004413746734848271-0.013755870107711446j),(0.016629014436336666-0.020557619493063013j)
Bus 15,(0.021198693366591366-0.022673368586472068j),(0.054576887322731506-0.044789240489942296j),(0.10207513131576328-0.04698467801758184j),(0.15238128041508256+0.02767654257651944j),(0.12128792488390172+0.03244139032003599j),(0.1260696033368667+0.044402042430080245j),(0.08387274193481296-0.005756891678615074j),(0.07348885466666473-0.014882494833545284j),(0.030483144108528773-0.011530981370587253j),(0.18326338839916584+0.13592944468805873j),(0.17941466615223123+0.12896403810220883j),(0.18224162999662136+0.13509746071256928j),(0.1870945327358527+0.14288614144848122j),(0.2873641726122787+0.26791846992158647j),(0.7297586687797213+0.940981019412597j),(0.36356753956047483+0.14404628895653554j),(0.22890384798931368+0.04123036554502961j),(0.1681441171267156-0.017032169301618966j),(0.11757851064803396-0.05802497613299004j),(0.10984217400259956-0.06623256216967342j),(0.2172259959757002-0.025607105652237977j),(0.18166493008033174-0.061527218607325324j),(0.1572457268559967-0.08614294321570955j),(0.34604721134021804-0.001000993822302343j),(0.03450095479686931-0.04815923311400444j),(0.044298746058605946-0.04032707525631888j),(0.09536435901008095-0.035709391631152304j),(-0.0010628817873503775-0.020135880184021487j),(-0.00368435795000294-0.01821330252371591j),(0.054576887322731533-0.04478924048994231j),(0.12603924516515655+0.0441635681691738j),(0.18326338839916578+0.13592944468805868j),(0.11757851064803387-0.058024976132990014j),(0.10984217400259956-0.06623256216967342j),(0.1816649300803318-0.0615272186073253j),(0.15724572685599664-0.08614294321570953j),(0.034500954796869314-0.04815923311400445j),(-0.00368435795000294-0.01821330252371591j),(0.0008734380516950968-0.009213267826751003j)
Bus 16,(0.02828670301136949-0.020713003824450738j),(0.07577090623141498-0.04256915223735307j),(0.12592394210646252-0.035234060300150166j),(0.06787503257883336-0.030607411729855212j),(0.047595224502522696-0.019395538401521778j),(0.04991821191093398-0.01629797713440159j),(0.0250242196570283-0.022318183017514003j),(0.01985395846560568-0.022919932262131314j),(0.007722749766629504-0.013739431623885856j),(0.08250450402407526+0.000690667421739264j),(0.0801472996288734-0.0006541473589965832j),(0.08202872414106473+0.0006651542778170969j),(0.0848547166849057+0.00203668070838214j),(0.1366338900316983+0.020044580661375835j),(0.36356753956047483+0.1440462889565355j),(0.5256056927041706+0.45054548179528214j),(0.3431268079436584+0.20236739522119288j),(0.2558587413123507+0.06877472846403798j),(0.23024006049522333-0.029400362150648507j),(0.22201789968521796-0.047595478583759857j),(0.37836765981876325+0.08226392622656524j),(0.3395324962827172+0.0016526806082232948j),(0.31283620484691793-0.0536179988920249j),(0.579829308562291+0.1976568630578839j),(0.05713246696206484-0.0513126692873956j),(0.089239600022299-0.034396538332665455j),(0.17259993389990502+0.0018153847135868734j),(0.01006138440984488-0.030579019810327006j),(0.0050486529504903295-0.029233813156974344j),(0.07577090623141501-0.04256915223735308j),(0.04985173367786535-0.016365064381078064j),(0.08250450402407525+0.0006906674217392605j),(0.23024006049522322-0.029400362150648528j),(0.22201789968521796-0.04759547858375984j),(0.33953249628271726+0.0016526806082233503j),(0.31283620484691776-0.05361799889202491j),(0.05713246696206484-0.051312669287395606j),(0.0050486529504903295-0.029233813156974344j),(-0.0006254308708711323-0.0074155501417362815j)
Bus 17,(0.09457914372179387-0.0038369511278840192j),(0.2380069681809572+0.01420494322609922j),(0.3368465169817626+0.10645491639812776j),(0.10505769889398421-0.028402929874047397j),(0.05721071650001625-0.02592274745339558j),(0.05562213947304085-0.024618590727242075j),(0.02740446114508467-0.02917643655286776j),(0.02220235065284678-0.02935849325145888j),(0.013350448468203465-0.020768229889789297j),(0.07841203731417604-0.01523085549221037j),(0.07664672730887936-0.015938918588126492j),(0.07795571188838256-0.015163451097479488j),(0.08017094443655166-0.014520309020982586j),(0.11962285787495715-0.007827977402492796j),(0.2289038479893137+0.04123036554502958j),(0.34312680794365846+0.20236739522119288j),(0.5617757062327353+1.0442989018208542j),(0.5321458294139108+0.5722369386691408j),(0.1274860469389067-0.039826877505299424j),(0.12099666829884557-0.049308070976568974j),(0.22264629975993613+0.008531018281306799j),(0.19253169000720885-0.03323194057880182j),(0.17184457937445274-0.06185953493632181j),(0.3483986934185708+0.05363423293174713j),(0.2116920452802701-0.03455776208984571j),(0.27798809330961577+0.0532061220937352j),(0.4362518000520075+0.2723275963015088j),(0.0731147686593688-0.06107581410909154j),(0.05841792120648741-0.06553882432047148j),(0.23800696818095732+0.014204943226099248j),(0.05553768395562766-0.024688132278072903j),(0.07841203731417602-0.015230855492210371j),(0.12748604693890664-0.039826877505299424j),(0.12099666829884557-0.04930807097656898j),(0.19253169000720893-0.03323194057880183j),(0.1718445793744527-0.06185953493632182j),(0.2116920452802701-0.03455776208984572j),(0.05841792120648742-0.06553882432047148j),(0.007264719631165443-0.014848356125365399j)
Bus 18,(0.15466470206302294+0.02165161803890059j),(0.3826866286925825+0.09221238375487603j),(0.5946113824759447+0.3128361985468241j),(0.16950206650522429-0.01900732827550105j),(0.08444993545986583-0.03078479415151239j),(0.07886259257803585-0.031115284146932362j),(0.04075585216287313-0.039200427976468485j),(0.03411857810556897-0.03964616087036806j),(0.023297436593825785-0.028816021128125962j),(0.09804957131335046-0.023680032216361165j),(0.09640896889220471-0.024197652020818257j),(0.09747775421687438-0.02356900960394453j),(0.09968223792170317-0.023158914924144586j),(0.13816546378017014-0.02045657889978037j),(0.16814411712671562-0.017032169301618945j),(0.25585874131235076+0.06877472846403802j),(0.5321458294139106+0.5722369386691408j),(0.8771588255267972+1.2642105891682904j),(0.07463859965718264-0.048164862379465614j),(0.06879568478048398-0.053089385845289445j),(0.1442176750326179-0.034068398508945906j),(0.11750000636747435-0.05548834300663733j),(0.09915729666904566-0.07016339659046056j),(0.23282651096138443-0.027490366468202687j),(0.30963877450839017-0.01869131287047733j),(0.2332017899050559-0.021262978104640257j),(0.34121958770440775+0.09076253627694879j),(0.04416889514543082-0.06528222956268628j),(0.031462509658656546-0.0654700999346124j),(0.3826866286925827+0.09221238375487611j),(0.07874894069142757-0.0312169400505651j),(0.09804957131335042-0.023680032216361165j),(0.0746385996571826-0.04816486237946561j),(0.06879568478048398-0.05308938584528945j),(0.11750000636747439-0.05548834300663734j),(0.09915729666904564-0.07016339659046056j),(0.30963877450839017-0.01869131287047733j),(0.03146250965865656-0.06547009993461242j),(0.015860114995671408-0.021349581187061754j)
Bus 19,(0.0012096438777888375-0.011692419308212246j),(0.006451928281423222-0.02841617511649316j),(0.019554000108738073-0.0392394305515842j),(0.007651184672195506-0.023762698397099644j),(0.005879185449801822-0.016198049852089443j),(0.007171895336060729-0.016079212813618033j),(7.681453621130661e-05-0.011242019355566266j),(-0.0012354701477371053-0.010091528193591584j),(-0.0016802854747053004-0.005010170582225122j),(0.018724510368196286-0.020362957787916948j),(0.017860001380478586-0.020079146088635896j),(0.01861117705199573-0.02025037193232809j),(0.019587745187783397-0.020644761186481217j),(0.035709735168855804-0.029472436155785965j),(0.11757851064803389-0.058024976132990035j),(0.2302400604952233-0.02940036215064855j),(0.1274860469389067-0.03982687750529941j),(0.07463859965718264-0.048164862379465594j),(1.1541252326786993+0.6274562054841376j),(1.1766365802841858+0.5167168016516082j),(0.1055417836972578-0.07559862689988942j),(0.07676151167796658-0.08406761560050739j),(0.057012915531192095-0.08985713278414499j),(0.17954174452612698-0.09975231636036945j),(8.626293682953033e-05-0.02574708163253797j),(0.011513096109876086-0.029927969345657102j),(0.03926393345777661-0.04251611884090882j),(-0.005342280520026283-0.009378481690825764j),(-0.006134947854143634-0.007829356027289567j),(0.00645192828142323-0.028416175116493178j),(0.007140262300670293-0.016077766037878555j),(0.018724510368196286-0.020362957787916948j),(1.154125232678699+0.6274562054841372j),(1.1766365802841858+0.5167168016516082j),(0.07676151167796662-0.08406761560050745j),(0.057012915531192095-0.08985713278414496j),(8.626293682952621e-05-0.025747081632537975j),(-0.006134947854143638-0.007829356027289567j),(-0.001984833508950067-0.0015119909479536005j)
Bus 20,(0.0002174981686225855-0.011497153995308988j),(0.0039521722264595025-0.028230477450681534j),(0.015833787991880226-0.039858480007311764j),(0.0055039253625423544-0.023792943654077945j),(0.004398756594049423-0.016273252393118942j),(0.00566865248841402-0.016263731012856053j),(-0.0008497302712535654-0.010964937736863373j),(-0.0020343106445176442-0.00973551937943532j),(-0.002049992547970292-0.004745673187240472j),(0.016577718597858178-0.02138964092813269j),(0.01575834526554908-0.021041881621988626j),(0.016476502002337967-0.021270572057175845j),(0.01739601505666624-0.021735337765751053j),(0.032385548094573335-0.03166644176198368j),(0.10984217400259952-0.0662325621696734j),(0.2220178996852179-0.04759547858375982j),(0.12099666829884556-0.04930807097656896j),(0.06879568478048398-0.05308938584528942j),(1.1766365802841858+0.5167168016516083j),(1.2076454905032163+0.5408627250034347j),(0.09666352185372042-0.0823732302667262j),(0.06791223133224691-0.08826166955028888j),(0.04818531295487298-0.09228100095056814j),(0.16681148430758888-0.11200421385640423j),(-0.0020334998859203846-0.0251051199929721j),(0.008761414763957474-0.030120420544400606j),(0.0347773612846298-0.04467362488219468j),(-0.005978947668582865-0.008702680287611118j),(-0.006624223693394908-0.007127412900627766j),(0.003952172226459508-0.02823047745068155j),(0.005637935879191197-0.016259719025835718j),(0.016577718597858178-0.02138964092813269j),(1.1766365802841856+0.516716801651608j),(1.2076454905032163+0.5408627250034346j),(0.06791223133224694-0.08826166955028894j),(0.048185312954872966-0.09228100095056813j),(-0.0020334998859203885-0.025105119992972103j),(-0.006624223693394911-0.007127412900627768j),(-0.0020591528187986633-0.0013106311377234382j)
Bus 21,(0.00842657956449701-0.017706643999697298j),(0.02600059465357577-0.04107266914531778j),(0.05263825541800639-0.05077638917671821j),(0.02528909921726146-0.03308768856398573j),(0.018281921152586405-0.022184142170420786j),(0.02024787696979093-0.021275927955179547j),(0.006394312493526887-0.017630738882354252j),(0.0036892408931070058-0.016554362890525892j),(0.00015431970216636887-0.008814175688298552j),(0.040800292274136264-0.021563534887255795j),(0.03928281599152958-0.02159978873181852j),(0.040559292734747475-0.021449783486424782j),(0.04231464471197079-0.021524834831549294j),(0.0725863022381361-0.02640604806942457j),(0.21722599597570022-0.02560710565223802j),(0.37836765981876336+0.08226392622656523j),(0.2226462997599361+0.008531018281306757j),(0.14421767503261784-0.0340683985089459j),(0.1055417836972578-0.07559862689988944j),(0.0966635218537204-0.08237323026672623j),(0.969594586496619+1.0864055381804845j),(0.7676666685182704+0.5411328103856184j),(0.629027179185312+0.1671175642059592j),(0.41622644768340933-0.041496223405248944j),(0.014503643167439456-0.04042890848337509j),(0.03480091754211574-0.04062500520713143j),(0.08545282697013408-0.04492864961513406j),(-0.003164997274118418-0.01772516562877417j),(-0.005275633199419301-0.015732125566926j),(0.026000594653575772-0.041072669145317806j),(0.020197339235179287-0.02129130613146691j),(0.040800292274136264-0.021563534887255795j),(0.10554178369725772-0.0755986268998894j),(0.0966635218537204-0.08237323026672622j),(0.7676666685182705+0.5411328103856188j),(0.6290271791853119+0.16711756420595908j),(0.014503643167439455-0.040428908483375096j),(-0.005275633199419306-0.015732125566926002j),(-0.002276602468253072-0.00348463082102511j)
Bus 22,(0.0040031872130823236-0.016722815300772922j),(0.014821998172261226-0.03996602399035408j),(0.03590353031001538-0.053140919400303056j),(0.015665970597558806-0.03298721393356663j),(0.011641278157665805-0.02235835970770076j),(0.0134930130882645-0.021937376711769242j),(0.0022738059798906225-0.016287579224156433j),(0.0001495283918193992-0.014871640496430983j),(-0.0014729151672223384-0.007588587908554795j),(0.03106975401595013-0.025927191911810643j),(0.029761514782749833-0.025681918217327324j),(0.03088375030954312-0.02578572792669669j),(0.03237575924476203-0.026169798403100433j),(0.057452703746034665-0.035869964237490594j),(0.18166493008033185-0.061527218607325365j),(0.33953249628271737+0.0016526806082233858j),(0.19253169000720893-0.033231940578801876j),(0.11750000636747432-0.05548834300663731j),(0.07676151167796665-0.0840676156005074j),(0.06791223133224694-0.08826166955028891j),(0.7676666685182705+0.5411328103856187j),(1.1816083843588931+1.8811455713956622j),(1.125076098024053+0.9105600688706127j),(0.46393380788796285-0.017814363124846622j),(0.005077572516456925-0.0373199426906677j),(0.02245212907708029-0.041184796093291745j),(0.06511570940123883-0.05410130520289635j),(-0.005943023071497525-0.014627582213862934j),(-0.007390467364911725-0.012533623889634067j),(0.014821998172261229-0.03996602399035411j),(0.013446862884019164-0.0219413633535463j),(0.03106975401595013-0.025927191911810643j),(0.07676151167796658-0.08406761560050738j),(0.06791223133224696-0.08826166955028893j),(1.1816083843588931+1.881145571395663j),(1.125076098024053+0.9105600688706124j),(0.005077572516456922-0.0373199426906677j),(-0.007390467364911729-0.012533623889634072j),(-0.0025874272760975045-0.0025743637073722073j)
Bus 23,(0.0009695124837989597-0.016044847885636954j),(0.007154472270115942-0.03919910274521048j),(0.024422192591548195-0.05475128679369814j),(0.009064764273267736-0.032911588999777586j),(0.007085806814711604-0.022473245111954015j),(0.008858849175218867-0.022386413574792926j),(-0.0005518448133863351-0.01536332878598386j),(-0.0022774727091544374-0.013714861174991905j),(-0.0025883126988622347-0.006746725714119785j),(0.024391758083393018-0.028913798383061736j),(0.023227247385337-0.02847554806132515j),(0.024243499731299537-0.028753362409923638j),(0.025554645343893956-0.029349230525084494j),(0.04706476343771029-0.04235148524853j),(0.15724572685599672-0.08614294321570957j),(0.31283620484691793-0.053617998892024885j),(0.1718445793744527-0.06185953493632188j),(0.0991572966690457-0.07016339659046057j),(0.0570129155311921-0.08985713278414494j),(0.048185312954872994-0.09228100095056814j),(0.6290271791853121+0.16711756420595902j),(1.125076098024053+0.9105600688706121j),(1.4650106135578285+1.4202680255937037j),(0.4965635064125934-0.001554409471585895j),(-0.0013863608883081008-0.03518068942747744j),(0.013980714104399055-0.041560202186178126j),(0.0511584605399569-0.06037940359640449j),(-0.007846536851765793-0.01250076657928353j),(-0.008838974498632003-0.010338042150036772j),(0.0071544722701159455-0.03919910274521051j),(0.008815716663000812-0.022382588904114216j),(0.024391758083393018-0.028913798383061736j),(0.05701291553119209-0.08985713278414494j),(0.048185312954872994-0.09228100095056814j),(1.1250760980240533+0.9105600688706121j),(1.465010613557828+1.4202680255937028j),(-0.0013863608883081008-0.035180689427477436j),(-0.008838974498632007-0.010338042150036772j),(-0.0028000130706269514-0.0019497219831092533j)
Bus 24,(0.016443393289370268-0.026307634118402288j),(0.04828657800411724-0.05985761276739235j),(0.09190698715379214-0.07029658879548338j),(0.04572564296380748-0.04743592115978103j),(0.03274229014189389-0.031564478783607026j),(0.035668154923512455-0.029781819145180414j),(0.013235503076656267-0.026555503819215856j),(0.008789389139581138-0.02535245922142593j),(0.0018350165498570792-0.013825628530837315j),(0.06802297727157056-0.02652063056835272j),(0.06564446338653308-0.02685177608090191j),(0.06762363932043522-0.026385385682693024j),(0.07039613935432407-0.026186204659623232j),(0.11885692441028732-0.028388940690504738j),(0.34604721134021804-0.0010009938223024262j),(0.5798293085622911+0.1976568630578839j),(0.3483986934185709+0.053634232931747156j),(0.2328265109613844-0.02749036646820266j),(0.179541744526127-0.09975231636036952j),(0.1668114843075889-0.11200421385640433j),(0.4162264476834093-0.041496223405248944j),(0.4639338078879628-0.01781436312484669j),(0.4965635064125935-0.0015544094715859158j),(1.0601453564527419+0.8509163441607613j),(0.03010015853177499-0.0609229622647027j),(0.062037434815419554-0.05756404090680885j),(0.1424261354026392-0.05517687010600575j),(-0.0017720964199070943-0.02843100903357426j),(-0.005449532398163311-0.025679818069042768j),(0.048286578004117266-0.059857612767392376j),(0.03559150161281294-0.029815120207757135j),(0.06802297727157056-0.026520630568352722j),(0.17954174452612692-0.09975231636036949j),(0.1668114843075889-0.11200421385640433j),(0.4639338078879629-0.01781436312484669j),(0.4965635064125934-0.0015544094715859713j),(0.030100158531774987-0.0609229622647027j),(-0.005449532398163318-0.025679818069042775j),(-0.002948633392355483-0.005888217357328631j)
Bus 25,(0.43831507062932884+0.33725179079567696j),(1.0240410446007842+0.9384687789671174j),(0.5232462616577283+0.12789195751401075j),(0.11873063211709443-0.04329225968228566j),(0.05342643446623728-0.038594360009067394j),(0.048001338752314694-0.03797035476922599j),(0.022451242665971073-0.037538209098536314j),(0.01967354766393204-0.037160784955180805j),(0.05647846749850513-0.032276686832894766j),(0.05537698818791981-0.03610788124378234j),(0.054653988396801495-0.036117663667532315j),(0.05504810196320984-0.03591402863374169j),(0.056095852292218605-0.03609419984809397j),(0.07343515770102732-0.04110272970450041j),(0.03450095479686932-0.04815923311400447j),(0.05713246696206488-0.05131266928739565j),(0.21169204528027025-0.034557762089845775j),(0.30963877450839034-0.01869131287047734j),(8.626293682952599e-05-0.02574708163253799j),(-0.002033499885920388-0.025105119992972113j),(0.014503643167439455-0.04042890848337511j),(0.005077572516456925-0.037319942690667726j),(-0.0013863608883081064-0.03518068942747747j),(0.030100158531774997-0.060922962264702736j),(1.4316512163023842+1.526000631509544j),(0.5239878462031967+0.18714610799659726j),(0.30545219247332933-0.0354491250124921j),(0.16044255441305358-0.09660977100798704j),(0.13323737999361102-0.10970939349099827j),(1.0240410446007846+0.9384687789671181j),(0.04790157107213496-0.038016872599914625j),(0.0553769881879198-0.03610788124378235j),(8.626293682952447e-05-0.02574708163253798j),(-0.002033499885920391-0.02510511999297211j),(0.005077572516456918-0.037319942690667726j),(-0.0013863608883081075-0.035180689427477464j),(1.4316512163023842+1.526000631509544j),(0.13323737999361107-0.10970939349099831j),(0.08184612862297735-0.028884323235692597j)
Bus 26,(0.15287660152252808+0.023086583908583244j),(0.3781129390217582+0.09120270136206464j),(0.20466757135098468-0.05215922650168563j),(0.03630571656201797-0.0411919705086973j),(0.01412585527324843-0.026507747025480442j),(0.01282527307089739-0.02539320376508294j),(0.0017823813848568838-0.019520568474520834j),(0.00033045853720618107-0.018459595572090166j),(0.009465718475717495-0.01844270334365965j),(0.01957909964922791-0.02739767416558793j),(0.0190357652412295-0.027192018342908117j),(0.019459000652927518-0.027244728742359968j),(0.02012119475022536-0.027600713417472368j),(0.030758766356841667-0.0349706566744498j),(0.04429874605860597-0.04032707525631889j),(0.089239600022299-0.034396538332665476j),(0.2779880933096158+0.05320612209373525j),(0.2332017899050559-0.021262978104640312j),(0.011513096109876091-0.029927969345657113j),(0.008761414763957476-0.03012042054440061j),(0.034800917542115756-0.040625005207131436j),(0.022452129077080295-0.04118479609329174j),(0.013980714104399074-0.04156020218617814j),(0.06203743481541957-0.057564040906808854j),(0.5239878462031966+0.18714610799659723j),(1.1066514424899672+1.3697413648860288j),(0.7393402602981839+0.3806844716351038j),(0.5927103038870368+0.003679540460630515j),(0.5408335038630181-0.07657466379819852j),(0.3781129390217583+0.09120270136206467j),(0.012774106784051806-0.025393328447293487j),(0.019579099649227903-0.02739767416558793j),(0.011513096109876083-0.029927969345657092j),(0.008761414763957476-0.03012042054440061j),(0.0224521290770803-0.04118479609329176j),(0.013980714104399059-0.04156020218617814j),(0.5239878462031966+0.1871461079965972j),(0.5408335038630183-0.07657466379819863j),(0.01576701645347921-0.01842710379003009j)
Bus 27,(0.09665623444173364-0.02481129115041092j),(0.2480828835143797-0.040026473836604154j),(0.20294968855027454-0.05360714140982897j),(0.04135387720626644-0.04394777372895257j),(0.0184257066610078-0.02835481787750395j),(0.01767153514493095-0.027087642083535885j),(0.003858543772023451-0.021358772232217115j),(0.0016226299035495412-0.020168335005037057j),(0.0033009572858255466-0.017450314381305482j),(0.02902308763720723-0.028356599850953183j),(0.02814503863403658-0.028228653801275504j),(0.02884825701077122-0.028200586800296516j),(0.02989911282876153-0.028481704311079676j),(0.04743531591935886-0.03536867154497407j),(0.09536435901008097-0.035709391631152304j),(0.17259993389990502+0.0018153847135868595j),(0.4362518000520076+0.272327596301509j),(0.34121958770440775+0.09076253627694875j),(0.03926393345777663-0.042516118840908834j),(0.03477736128462982-0.04467362488219469j),(0.0854528269701341-0.04492864961513406j),(0.0651157094012388-0.054101305202896355j),(0.05115846053995693-0.06037940359640449j),(0.1424261354026392-0.05517687010600576j),(0.3054521924733292-0.035449125012492116j),(0.7393402602981839+0.3806844716351038j),(1.1491497472907113+1.1813577954781964j),(0.256763324944171-0.11145632776145163j),(0.21904495529188742-0.1362332758522808j),(0.24808288351437982-0.04002647383660417j),(0.01761373458822338-0.027094189357422017j),(0.029023087637207224-0.02835659985095318j),(0.0392639334577766-0.04251611884090881j),(0.03477736128462982-0.04467362488219469j),(0.06511570940123883-0.05410130520289637j),(0.0511584605399569-0.06037940359640449j),(0.3054521924733292-0.035449125012492144j),(0.21904495529188744-0.13623327585228084j),(0.00446540674303743-0.015578179441494318j)
