name,from_bus,to_bus,r_per_km,x_per_km,b_per_km,length_km,r_total,x_total,b_total,current
Line 09 - 39,Bus 09,Bus 39,0.012000000104308128,0.30000001192092896,10.164509773254395,99.1875,1.1902500103460625,29.75625118240714,1008.1923131346703,0.058621409299879974
Line 10 - 11,Bus 10,Bus 11,0.027906980365514755,0.30000001192092896,3.5900862216949463,17.06024932861328,0.4761000430443971,5.118075001958005,61.247766053335,0.8806505911252221
Line 10 - 13,Bus 10,Bus 13,0.027906980365514755,0.30000001192092896,3.5900862216949463,17.06024932861328,0.4761000430443971,5.118075001958005,61.247766053335,0.2703071071951434
Line 13 - 14,Bus 13,Bus 14,0.02673267014324665,0.30000001192092896,3.6125173568725586,40.07175064086914,1.0712248919447873,12.021525669953235,144.75989471040884,0.20149268352008035
Line 14 - 15,Bus 14,Bus 15,0.024884790182113647,0.30000001192092896,3.5716137886047363,86.0947494506836,2.1424497758619054,25.82842586153447,307.4971942645316,0.537359400179326
Line 15 - 16,Bus 15,Bus 16,0.028723400086164474,0.30000001192092896,3.852245807647705,37.294498443603516,1.071224799808462,11.188349977666121,143.6675752776955,0.5399287906214395
Line 16 - 17,Bus 16,Bus 17,0.02359551005065441,0.30000001192092896,3.1930770874023438,35.31074905395508,0.8331751341987328,10.593225137123454,112.74994374319795,0.9329563386681213
Line 16 - 19,Bus 16,Bus 19,0.02461538091301918,0.30000001192092896,3.3012735843658447,77.36624908447266,1.9043996910258159,23.209875647619356,255.4071544240378,0.8616630463960894
Line 16 - 21,Bus 16,Bus 21,0.017777780070900917,0.30000001192092896,3.9967844486236572,53.561248779296875,0.95220010112115,16.068375272288904,214.0727661699566,0.5677296931724769
Line 16 - 24,Bus 16,Bus 24,0.015254239551723003,0.30000001192092896,2.440640449523926,23.40825080871582,0.35707506532296485,7.022475521662841,57.13112377635298,0.1010507064518147
Line 17 - 18,Bus 17,Bus 18,0.025609759613871574,0.30000001192092896,3.4062280654907227,32.53350067138672,0.8331751315919433,9.760050589245566,110.81652305553871,0.797443451795075
Line 17 - 27,Bus 17,Bus 27,0.022543350234627724,0.30000001192092896,3.9365413188934326,68.63774871826172,1.547324808672144,20.59132543370424,270.195333865262,0.2328581144985047
Line 21 - 22,Bus 21,Bus 22,0.01714286021888256,0.30000001192092896,3.8797664642333984,55.54499816894531,0.9522001394683173,16.66350011283157,215.50162115177955,1.0170809364682987
Line 22 - 23,Bus 22,Bus 23,0.01875000074505806,0.30000001192092896,4.071994304656982,38.0880012512207,0.7141500518381605,11.426400829410568,155.09412417073872,0.12625294723751682
Line 23 - 24,Bus 23,Bus 24,0.018857140094041824,0.30000001192092896,2.184173345565796,138.8625030517578,2.6185496738563074,41.65875257089738,303.2997778641984,0.5982798019514671
Line 25 - 26,Bus 25,Bus 26,0.02972136065363884,0.30000001192092896,3.363250970840454,128.15025329589844,3.808799896062567,38.445077516439596,431.0014638108805,0.40065818237897566
Line 26 - 27,Bus 26,Bus 27,0.02857143059372902,0.30000001192092896,3.4515421390533447,58.32225036621094,1.6663501284082827,17.496675805118684,201.30170478339642,0.38832771604239574
Line 26 - 28,Bus 26,Bus 28,0.02721519023180008,0.30000001192092896,3.485546827316284,188.0594940185547,5.118074904611035,56.417850447410274,655.490172723079,0.14550050035816436
Line 26 - 29,Bus 26,Bus 29,0.02735999971628189,0.30000001192092896,3.4864137172698975,247.96875,6.784424929646775,74.39062795601785,864.5216514542699,0.22003406009760118
Line 28 - 29,Bus 28,Bus 29,0.02781457081437111,0.30000001192092896,3.491955518722534,59.90924835205078,1.6663500307238621,17.972775219789128,209.2004304054626,0.5197346071399989
